id,item_id,source,price,created_at,updated_at
02fad406-1cbe-412f-81ed-3490515c0246,af29564d-9cdc-4150-85f1-0961f1f538f3,Small Lab,23,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
04432fea-5e50-4ca1-a55c-85d7d82a1c12,a82642a2-842c-44fc-9b35-64aacea47aa4,Large Lab,4.29,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
06346787-9ced-4478-8c2e-e096d17cfa4e,e368381f-213f-4f84-a5aa-04ced3802485,Walther,5,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
0915956e-c541-4bbe-8441-e0b7e88e2a60,ae9cb95f-9099-4977-b3a7-c668bdfd4912,Bong Breaker,0.28,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
0bbb309d-61cc-4459-949e-ecd4f947580f,6bf182b9-5a5c-4b9b-a5a2-def933499940,Drug Store,2.25,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
0cdb409f-d663-4aef-98f6-8c9a942bd704,e368381f-213f-4f84-a5aa-04ced3802485,Eddie,5,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
0fd662b1-9ee5-496a-a9a4-e04de0d719b3,764e8e09-c264-42cf-900c-743df3f4d46f,Gas Station,0.67,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
15ab1306-b88d-40f6-b18f-2d240966c3bb,5e5eaccc-00a4-440f-ba95-4140ea0c6ea0,Eddie,4,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
18cc1786-95e2-4fd3-ab15-7e1b08859984,ae9cb95f-9099-4977-b3a7-c668bdfd4912,Dubai Sativa,0.32,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
25bc0d67-8270-41ac-9baf-0e55b705db06,ae9cb95f-9099-4977-b3a7-c668bdfd4912,AK-420,0.33,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
2a3fc499-8095-4de2-92eb-1b3bd9d5eb29,af29564d-9cdc-4150-85f1-0961f1f538f3,Eddie,25,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
2f505748-0ea7-414a-b6b9-5538c9a617f7,be0b2be7-41f8-4232-805e-da24d108c293,Gas Station,0.25,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
3068c7e7-60d0-4186-bacf-cc2d5091ccb2,ae9cb95f-9099-4977-b3a7-c668bdfd4912,Ghetto Kush,0.61,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
30f85df0-7f8a-4ab3-b1ba-06e8e32f4abc,be0b2be7-41f8-4232-805e-da24d108c293,Local Shop,0.25,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
33190ebb-ae07-4480-aca3-5bbc7fd9c49c,94cb0ae2-6d05-4aec-825c-b52b7e18c59f,Small Lab,6,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
37b7917e-4598-4a40-b9da-498bb9d00c98,2a463845-528f-4dc8-9572-d6892fe3c3a6,Eddie,9,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
3abe9e8c-b45d-4eb4-9cf3-9e45ebcb5120,91acd46d-89f0-4c6a-986e-7529c052e1a5,Gas Station,0.18,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
3b745fdb-1350-4ab7-bb10-0dbd474197b8,69eedaf5-f675-4af0-8efd-7140052f6056,Eddie,20,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
404b32e6-a146-4f29-a246-8c3d0fb21bf1,17aa1f5f-19a2-412e-bf5a-fedd7af2504a,Gas Station,0.15,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
426157dd-ac60-4432-92d1-739f3aae1361,ae9cb95f-9099-4977-b3a7-c668bdfd4912,Large Lab,3.57,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
506a0496-eeeb-42ba-8ddf-36775b8ba741,e51c4415-317d-439b-8c64-af578e0945a0,Drug Store,4.66,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
61b7056e-018e-44b7-8278-b5350a37442b,c9a61cb2-73fe-4c83-8c14-1629a65fce2e,Gas Station,2.5,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
65808cb7-e54a-418d-9f2f-397d23576189,cfc89861-bf2f-44b3-a4ed-b4861dad529b,Walther,4,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
70f86cfa-15cc-47bd-b7ca-3f75905f0b27,a82642a2-842c-44fc-9b35-64aacea47aa4,Eddie,7,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
72af2801-428b-479f-940f-2a5f448dfc06,94cb0ae2-6d05-4aec-825c-b52b7e18c59f,Eddie,7,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
7c0a6dd8-8697-48ae-abee-a8c6bc804e46,6226c760-a1e1-43bd-85dd-a63047fe53f4,Gas Station,0.15,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
811c182d-fec8-4ab3-a5b5-3b44fa819ae2,6226c760-a1e1-43bd-85dd-a63047fe53f4,Local Shop,0.15,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
822db1c4-53dd-4e3f-b699-9d2975dd14f3,69eedaf5-f675-4af0-8efd-7140052f6056,Walther,20,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
8e7eb3e5-bd91-4290-8330-c27d1773e516,5e5eaccc-00a4-440f-ba95-4140ea0c6ea0,Walther,4,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
90bd7d6a-caf8-4622-979a-7f23908b1791,ae9cb95f-9099-4977-b3a7-c668bdfd4912,Brainfuck,0.32,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
949e72d0-3327-489d-ad34-7c92c3d2579e,91acd46d-89f0-4c6a-986e-7529c052e1a5,Local Shop,0.18,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
9cd54923-e5ac-4d3d-8c0d-24bb1b0b5655,d825cc42-0f08-40b7-973f-6ac4253b83c1,Large Lab,11.43,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
9ddcf7ae-949a-43d7-9f94-21eb381ccdb2,ae9cb95f-9099-4977-b3a7-c668bdfd4912,Small Lab,5,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
a70e3738-75d4-4247-9ef4-2473b46462ae,c9a61cb2-73fe-4c83-8c14-1629a65fce2e,Drug Store,2.75,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
abd1b81a-38cf-45df-87d4-4c09b2c0c08c,d825cc42-0f08-40b7-973f-6ac4253b83c1,Eddie,17,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
b0e3a8f6-24ac-49a7-87f2-3ad9730eb0ff,af29564d-9cdc-4150-85f1-0961f1f538f3,Large Lab,16.43,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
b21fb4d7-51c2-4763-a9de-5b79ab737887,ae9cb95f-9099-4977-b3a7-c668bdfd4912,Stoner Haze,0.4,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
b2acd725-1483-498e-a8dc-5d77a07763e4,94cb0ae2-6d05-4aec-825c-b52b7e18c59f,Large Lab,4.29,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
bd2bac7c-45f1-4526-a527-03d8e11d02d5,17aa1f5f-19a2-412e-bf5a-fedd7af2504a,Local Shop,0.15,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
c217e558-d9d6-49b3-8a07-3bbbbbcde3e6,a82642a2-842c-44fc-9b35-64aacea47aa4,Small Lab,6,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
c648415f-6e74-4209-8a20-205137a81cf1,cfc89861-bf2f-44b3-a4ed-b4861dad529b,Eddie,4,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
d4af577a-a14c-4316-8f0e-5136e78f0b43,c9a61cb2-73fe-4c83-8c14-1629a65fce2e,Local Shop,2.5,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
dcda9587-c017-48b5-b7d0-1846ba894a02,ae9cb95f-9099-4977-b3a7-c668bdfd4912,Firecracker,0.32,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
e092a7b5-5b27-4c2d-be13-3a0beb56254b,374987aa-ca21-47eb-85b5-08cf11db02db,Drug Store,6,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
e14f9f76-ecf3-49d6-8266-979b60da1275,ae9cb95f-9099-4977-b3a7-c668bdfd4912,Eddie,5,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
e1969aea-7ed2-4ddb-b91c-5293a29541ce,2a463845-528f-4dc8-9572-d6892fe3c3a6,Small Lab,8,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
f2e8318f-01d0-4ba3-b40f-b4412dcfc1aa,2a463845-528f-4dc8-9572-d6892fe3c3a6,Large Lab,5.71,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
fc30e501-dde8-4f39-b616-515da1c2741e,d825cc42-0f08-40b7-973f-6ac4253b83c1,Small Lab,16,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745